latitude,longitude,measured_on,optical thickness,transmission percent
36.290455,-93.296115,05-06-2020,0.167466448,84.58049955
36.323437,-93.258022,05-06-2020,0.170734266,84.30455698
36.323437,-93.258022,05-06-2020,0.159868692,85.22556895
45.81672,-118.49085,04-06-2020,0.101200805,90.3751537
36.323437,-93.258022,04-06-2020,0.131853204,87.64696483
36.323437,-93.258022,02-06-2020,0.118309952,88.84206421
36.323437,-93.258022,02-06-2020,0.146710447,86.35439829
36.290455,-93.296115,01-06-2020,0.095292249,90.91072102
36.290455,-93.296115,01-06-2020,0.09583857,90.86106814
36.323437,-93.258022,01-06-2020,0.105005635,90.03194491
36.323437,-93.258022,01-06-2020,0.109363415,89.64045917
45.81672,-118.49085,01-06-2020,0.071547974,93.09516149
36.323437,-93.258022,31-05-2020,0.103980157,90.12431805
36.323437,-93.258022,31-05-2020,0.098183931,90.64821581
45.81672,-118.49085,31-05-2020,0.073833771,92.88260784
45.81672,-118.49085,31-05-2020,0.075500296,92.72794563
36.323437,-93.258022,30-05-2020,0.069183768,93.315518
36.323437,-93.258022,30-05-2020,0.070490172,93.19368983
36.290455,-93.296115,30-05-2020,0.072046733,93.04874105
36.290455,-93.296115,30-05-2020,0.064622294,93.7421466
36.323437,-93.258022,29-05-2020,0.103764298,90.14377427
36.323437,-93.258022,29-05-2020,0.099413312,90.53684315
45.81672,-118.49085,28-05-2020,0.052768654,94.85994416
36.290455,-93.296115,28-05-2020,0.083,92.03511472
36.290455,-93.296115,28-05-2020,0.094940283,90.94272412
36.323437,-93.258022,28-05-2020,0.085595638,91.79653468
36.323437,-93.258022,28-05-2020,0.113942211,89.230952
45.81672,-118.49085,27-05-2020,0.057871036,94.37716526
45.81672,-118.49085,27-05-2020,0.058586417,94.30967377
36.323437,-93.258022,27-05-2020,0.08165277,92.15919073
36.323437,-93.258022,27-05-2020,0.08366844,91.97361536
45.81672,-118.49085,27-05-2020,0.059917613,94.18421255
39.983913,-76.173141,26-05-2020,0.208329792,81.19392212
39.983913,-76.173141,26-05-2020,0.191941268,82.53553414
39.983913,-76.173141,26-05-2020,0.171235234,84.26233365
39.983913,-76.173141,26-05-2020,0.191374311,82.58234157
36.323437,-93.258022,24-05-2020,0.184575345,83.14572913
43.613763,-116.207543,24-05-2020,0.082793706,92.05410301
36.323437,-93.258022,24-05-2020,0.202314748,81.68377895
36.290455,-93.296115,24-05-2020,0.129932328,87.81548557
43.613763,-116.207543,24-05-2020,0.076071233,92.67501893
36.290455,-93.296115,24-05-2020,0.161001289,85.12909736
36.323437,-93.258022,23-05-2020,0.087442146,91.62718806
36.323437,-93.258022,23-05-2020,0.082739372,92.05910475
36.290455,-93.296115,23-05-2020,0.079229947,92.3827469
36.290455,-93.296115,23-05-2020,0.085001336,91.85110569
41.032002,-74.574892,21-05-2020,0.075538702,92.72438432
36.290455,-93.296115,18-05-2020,0.11221925,89.38482599
36.290455,-93.296115,17-05-2020,0.053216758,94.81744655
36.323437,-93.258022,17-05-2020,0.061943787,93.99357218
36.323437,-93.258022,17-05-2020,0.053150954,94.82368616
45.81672,-118.49085,10-05-2020,0.109037183,89.66970752
36.323437,-93.258022,10-05-2020,0.109887993,89.59344804
36.323437,-93.258022,10-05-2020,0.125043947,88.24581205
45.81672,-118.49085,09-05-2020,0.08182984,92.1428736
36.290455,-93.296115,09-05-2020,0.117811657,88.88634484
45.81672,-118.49085,09-05-2020,0.074355421,92.83416831
36.290455,-93.296115,09-05-2020,0.111563318,89.44347562
45.81672,-118.49085,09-05-2020,0.109630121,89.61655466
36.323437,-93.258022,09-05-2020,0.095490905,90.89266285
36.323437,-93.258022,09-05-2020,0.083425788,91.99593566
