latitude,longitude,measured_on,depth level (cm),maximum temp (deg C),minimum temp (deg C),average temp (deg C)
41.6065,-93.6956,01-11-2007,5,12.2,0.6,5.7
41.6065,-93.6956,01-11-2007,10,11.7,2.8,7
41.6065,-93.6956,01-11-2007,50,11.7,3.9,7.8
41.6065,-93.6956,01-12-2007,5,15.6,-2.2,1.6
41.6065,-93.6956,01-12-2007,10,25,-17.8,2.2
41.6065,-93.6956,01-12-2007,50,3.9,1.7,2.4
41.6065,-93.6956,01-01-2008,5,2.2,-1.1,0.2
41.6065,-93.6956,01-01-2008,10,1.7,0.6,1.3
41.6065,-93.6956,01-01-2008,50,2.2,1.1,1.5
41.6065,-93.6956,01-02-2008,5,2.2,-1.7,1
41.6065,-93.6956,01-02-2008,10,1.1,0.6,1
41.6065,-93.6956,01-02-2008,50,1.1,1.1,1.1
41.6065,-93.6956,01-03-2008,5,10.6,1.1,2.9
41.6065,-93.6956,01-03-2008,10,5.6,1.1,2.1
41.6065,-93.6956,01-03-2008,50,6.7,1.1,2.4
41.6065,-93.6956,01-04-2008,5,20.6,2.8,10.2
41.6065,-93.6956,01-04-2008,10,13.9,3.9,8.3
41.6065,-93.6956,01-04-2008,50,13.9,5.6,8.7
41.6065,-93.6956,01-05-2008,5,24.4,8.9,17.5
41.6065,-93.6956,01-05-2008,10,17.2,10,14.5
41.6065,-93.6956,01-05-2008,50,17.8,10,13.9
41.6065,-93.6956,01-06-2008,5,28.9,10,22.2
41.6065,-93.6956,01-06-2008,10,21.7,0,19.4
41.6065,-93.6956,01-06-2008,50,22.8,0,20.3
41.6065,-93.6956,01-07-2008,5,31.7,0,23.2
41.6065,-93.6956,01-07-2008,10,24.4,0,20.7
41.6065,-93.6956,01-07-2008,50,25,0,21.1
41.6065,-93.6956,01-08-2008,5,31.7,0,21.8
41.6065,-93.6956,01-08-2008,10,25.6,0,20
41.6065,-93.6956,01-08-2008,50,25,0,20.8
41.6065,-93.6956,01-09-2008,5,27.8,12.2,18.9
41.6065,-93.6956,01-09-2008,10,22.8,16.1,18.6
41.6065,-93.6956,01-09-2008,50,21.7,18.3,19.6
41.6065,-93.6956,01-10-2008,5,20,2.8,12
41.6065,-93.6956,01-10-2008,10,17.2,7.2,12.9
41.6065,-93.6956,01-10-2008,50,18.9,11.1,15.4
41.6065,-93.6956,01-11-2008,5,15,0,5.3
41.6065,-93.6956,01-11-2008,10,12.8,2.2,6.5
41.6065,-93.6956,01-11-2008,50,15,6.1,10.5
41.6065,-93.6956,01-12-2008,5,1.7,-3.3,0.1
41.6065,-93.6956,01-12-2008,10,2.8,0.6,1.8
41.6065,-93.6956,01-12-2008,50,6.7,1.7,4.3
41.6065,-93.6956,01-01-2009,5,-0.6,-4.4,-1.4
41.6065,-93.6956,01-01-2009,10,1.1,-0.6,0
41.6065,-93.6956,01-01-2009,50,1.7,1.1,1.2
41.6065,-93.6956,01-02-2009,5,1.7,-5,-0.4
41.6065,-93.6956,01-02-2009,10,1.1,0,0.2
41.6065,-93.6956,01-02-2009,50,7.2,0.6,1.8
41.6065,-93.6956,01-03-2009,5,15.6,-3.3,4.3
41.6065,-93.6956,01-03-2009,10,9.4,0,3.6
41.6065,-93.6956,01-03-2009,50,10,0.6,4.6
41.6065,-93.6956,01-08-2009,5,28.9,16.1,23
41.6065,-93.6956,01-08-2009,10,25,17.8,22
41.6065,-93.6956,01-08-2009,50,22.8,18.9,21.4
41.6065,-93.6956,01-09-2009,5,24.4,12.2,19.5
41.6065,-93.6956,01-09-2009,10,21.1,14.4,19
41.6065,-93.6956,01-09-2009,50,20,16.7,19
41.6065,-93.6956,01-10-2009,5,16.1,5.6,10
41.6065,-93.6956,01-10-2009,10,15.6,8.3,10.9
41.6065,-93.6956,01-10-2009,50,16.7,10,12.4
41.6065,-93.6956,01-11-2009,5,12.2,3.3,7.7
41.6065,-93.6956,01-11-2009,10,10.6,5,8
41.6065,-93.6956,01-11-2009,50,11.1,7.2,9.4
41.6065,-93.6956,01-02-2010,5,1.1,0.6,1.1
41.6065,-93.6956,01-02-2010,10,1.7,1.1,1.6
41.6065,-93.6956,01-02-2010,50,2.8,2.2,2.4
41.6065,-93.6956,01-03-2010,5,13.3,1.1,4.7
41.6065,-93.6956,01-03-2010,10,9.4,1.1,3.7
41.6065,-93.6956,01-03-2010,50,7.8,1.7,3.8
41.6065,-93.6956,01-04-2010,5,20,6.7,13.6
41.6065,-93.6956,01-04-2010,10,15,8.3,12
41.6065,-93.6956,01-04-2010,50,12.8,7.8,11
41.6065,-93.6956,01-05-2010,5,26.7,8.9,16.5
41.6065,-93.6956,01-05-2010,10,21.7,10.6,15
41.6065,-93.6956,01-05-2010,50,18.3,11.1,13.9
41.6065,-93.6956,01-06-2010,5,27.8,18.9,23
41.6065,-93.6956,01-06-2010,10,23.9,18.9,21.2
41.6065,-93.6956,01-06-2010,50,21.7,18.3,19.7
41.6065,-93.6956,01-07-2010,5,29.4,15,24.3
41.6065,-93.6956,01-07-2010,10,25.6,21.7,23.8
41.6065,-93.6956,01-07-2010,50,23.9,21.1,22.5
41.6065,-93.6956,01-09-2010,5,27.2,6.7,17.9
41.6065,-93.6956,01-09-2010,10,25,15.6,19.7
41.6065,-93.6956,01-09-2010,50,23.9,17.8,20.4
41.6065,-93.6956,01-10-2010,5,18.3,0,10.7
41.6065,-93.6956,01-10-2010,10,17.2,0,13
41.6065,-93.6956,01-10-2010,50,17.8,0,14.3
41.6065,-93.6956,01-11-2010,5,50.6,-2.2,6.2
41.6065,-93.6956,01-11-2010,10,10.6,2.8,6.9
41.6065,-93.6956,01-11-2010,50,11.7,5,8.9
41.6065,-93.6956,01-01-2011,5,-0.6,-6.1,-2.8
41.6065,-93.6956,01-01-2011,10,0.6,-1.1,-0.2
41.6065,-93.6956,01-01-2011,50,2.2,1.1,1.2
41.6065,-93.6956,01-02-2011,5,3.3,-4.4,-1
41.6065,-93.6956,01-02-2011,10,2.2,0,0.3
41.6065,-93.6956,01-02-2011,50,1.7,1.1,1.3
41.6065,-93.6956,01-03-2011,5,10.6,-1.1,3.3
41.6065,-93.6956,01-03-2011,10,10,0.6,3.8
41.6065,-93.6956,01-03-2011,50,10,1.7,4
41.6065,-93.6956,01-04-2011,5,18.3,2.8,9.5
41.6065,-93.6956,01-04-2011,10,13.9,5,9.3
41.6065,-93.6956,01-04-2011,50,11.7,5.6,9
41.6065,-93.6956,01-05-2011,5,23.3,8.9,14.7
41.6065,-93.6956,01-05-2011,10,18.9,11.1,14.7
41.6065,-93.6956,01-05-2011,50,17.2,10,13.8
41.6065,-93.6956,01-06-2011,5,28.9,13.3,20.5
41.6065,-93.6956,01-06-2011,10,23.9,17.8,20.1
41.6065,-93.6956,01-06-2011,50,21.1,16.1,19.2
41.6065,-93.6956,01-07-2011,5,32.8,11.1,22.1
41.6065,-93.6956,01-07-2011,10,28.3,22.2,25.3
41.6065,-93.6956,01-07-2011,50,25.6,20.6,23.8
41.6065,-93.6956,01-08-2011,5,32.2,10,23.6
41.6065,-93.6956,01-08-2011,10,27.8,10,23.8
41.6065,-93.6956,01-08-2011,50,25.6,10,23.3
41.6065,-93.6956,01-09-2011,5,27.2,12.8,19
41.6065,-93.6956,01-09-2011,10,24.4,15.6,18.9
41.6065,-93.6956,01-09-2011,50,22.8,16.7,19.4
41.6065,-93.6956,01-10-2011,5,20,6.1,13.2
41.6065,-93.6956,01-10-2011,10,17.8,8.9,13.8
41.6065,-93.6956,01-10-2011,50,17.2,11.1,14.9
