"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1968","522.6","522.6","        65","        46","       49","        15","        23","       152","        54","       165","        53","-31.7","406","170.0","49.5","40.6","-3.3","-3.3","-6.7","-6.7","-15.0","-0.6","-2.2","-8.3","-8.3","-13.9","3789.2","3789.2","579.3","910.0","9.2","16.6","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1969","533.3","533.3","        65","        41","      106","        14","        26","       159","        67","       160","        43","-26.7","508","178.0","54.4","40.6","-1.7","-3.9","-5.6","-7.8","-10.6","-1.7","-3.3","-17.8","-17.8","-17.8","4136.5","4136.5","500.7","1063.0","8.5","15.3","1.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1970",,,"        59","        44","       72","        13","        32","       178",,,,"-33.9","203","229.0","41.9",,"-0.6","-2.2","-8.9","-8.9","-8.9","0.0","-6.7","-6.7","-6.7","-9.4","3846.8","3846.8","506.0","1397.0",,,"1.6"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1971","526.9","526.9","        62","        44","       81","        13","        25","       161","        62","       158","        49","-28.3","254","254.0","41.1","41.1","-0.6","-3.9","-5.6","-9.4","-9.4","0.0","-2.8","-6.1","-7.8","-8.9",,,"570.9","1067.0","8.9","16.0","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1972","444.7","444.7","        68","        49","       54","        13","        34","       172","        53","       152","        27","-30.0","254","279.0","41.9","36.7","0.0","-2.8","-6.7","-6.7","-10.0","-1.1","-2.8","-5.6","-7.8","-8.9","3952.2","3952.2","654.3","785.0","8.1","14.9","1.3"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1973","504.6","504.6","        66","        57","       61","        12","        16","       156","        39","       156","        47","-27.8","279","178.0","50.8","41.7","0.0","-2.2","-7.2","-7.2","-12.2","0.0","-2.2","-4.4","-9.4","-9.4","3816.8","3816.8","610.7","838.0","9.6","16.8","2.5"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1974","508.7","508.7","        60","        36","       23","         5","        17","       164","        33","       165","        53","-29.4","102","51.0","92.7","41.1","0.0","-5.0","-5.0","-6.7","-9.4","-0.6","-3.3","-6.7","-6.7","-17.2","3661.8","3661.8","416.3","302.0","9.9","18.1","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1975","614.8","614.8","        61","        43","       78","        18","        20","       160","        59","       170","        57","-27.8","254","229.0","36.8","40.6","0.0","-2.2","-4.4","-11.7","-11.7","-3.9","-3.9","-4.4","-17.8","-17.8","3889.3","3889.3","393.9","1275.0","9.1","16.4","1.7"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1976","628.4","628.4","        45","        29","       43","        11","        24","       161","        39","       168","        63","-30.0","254","152.0","28.2","44.4","-1.1","-7.8","-7.8","-7.8","-11.1","-3.3","-3.3","-5.0","-6.7","-11.1","3503.5","3503.5","292.2","998.0","10.0","18.2","1.8"
"USC00390043","ACADEMY 2 NE, SD US","43.48944","-99.06289","512.4","1977","469.8","469.8","        80","        57","       55","        13","        26","       149","        45","       172","        32","-30.0","356","216.0","64.0","38.9","0.0","-3.9","-6.7","-6.7","-10.0","-1.7","-5.0","-5.0","-7.2","-14.4","3749.3","3749.3","891.0","1099.0","9.5","16.5","2.5"
