gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
1944394116,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.847729,-81.952618,11,11,2018,1.3,24.8,9.4,0.048407444,95.27455178
1944387933,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.821573,-86.086177,13,10,2013,51.9,21.3,23.4,0.1027,90.23976522
1944384799,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.713704,-82.393164,19,9,2018,0.3,29,21.8,0.19972228,81.89581628
1944379322,"Sceloporus undulatus (Bosc & Daudin, 1801)",32.025745,-84.433375,30,10,2018,91.3,15.5,17.2,0.045499506,95.55200749
1935630267,"Sceloporus undulatus (Bosc & Daudin, 1801)",31.856547,-86.641895,7,11,2018,78.8,7.3,8.4,0.048407444,95.27455178
1935628081,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.6519,-76.817916,7,10,2018,78.2,17.2,16.3,0.04390045,95.7049227
1935625114,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.962003,-88.1873,24,8,2018,182.6,24.9,23.3,0.195337401,82.25570799
1935600618,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.49626,-82.60976,3,11,2018,14.4,7.2,9.4,0.048407444,95.27455178
1935600340,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.753694,-87.222611,3,11,2018,12.3,1.6,8.4,0.051614902,94.96945218
1935600336,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.657643,-87.306144,3,11,2018,12.3,1.6,8.4,0.051614902,94.96945218
1935597086,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.751913,-87.40692,3,11,2018,12.3,1.6,8.4,0.051614902,94.96945218
1935597081,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.764457,-87.431752,3,11,2018,12.3,1.6,8.4,0.051614902,94.96945218
1933601916,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.869435,-81.895606,9,5,2017,71,27,16,0.29285005,74.6134015
1933590575,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.350798,-80.915109,29,10,2018,91.3,15.5,16.3,0.045499506,95.55200749
1933589174,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.418056,-88.977776,31,10,2018,167.4,19.1,17.2,0.0803,92.2839453
1933589057,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.772663,-88.253408,12,10,2009,73.1,14.1,14,0.0626,93.93191262
1933587659,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.688827,-86.198301,11,6,2018,182.5,24.3,20.3,0.068393404,93.38930038
1933575066,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.895055,-78.874712,29,10,2018,91.3,18.1,16.3,0.045499506,95.55200749
1933572284,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.411786,-76.709862,29,10,2018,152.2,16.9,16.3,0.045499506,95.55200749
1933570648,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.821396,-87.626965,27,10,2018,154.8,13,17.2,0.052907854,94.84674063
1933570574,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.715241,-87.577716,27,10,2018,154.8,13,17.2,0.052907854,94.84674063
1933570546,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.821394,-87.626906,27,10,2018,154.8,13,17.2,0.052907854,94.84674063
1933570096,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.192164,-84.212647,27,10,2018,0,27.8,17.2,0.045499506,95.55200749
1933568795,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.401944,-89.503061,26,10,2017,132.9,14.9,17.1,0.09321216,91.10002016
1933568244,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.50792,-89.495364,6,10,2017,132.9,14.9,17.1,0.09321216,91.10002016
1933556936,"Sceloporus undulatus (Bosc & Daudin, 1801)",39.69994,-74.71309,28,4,2018,68,10.2,10.4,0.0768,92.60750501
1933555791,"Sceloporus undulatus (Bosc & Daudin, 1801)",39.061894,-83.033758,21,10,2018,7.5,13.3,16.3,0.052907854,94.84674063
1932348896,"Sceloporus undulatus (Bosc & Daudin, 1801)",39.67523,-74.460035,23,10,2018,85.9,14.4,16.3,0.05471733,94.67527286
1932348240,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.857655,-82.185967,2,8,2018,159.3,23.9,23.3,0.134360547,87.4274791
1932343988,"Sceloporus undulatus (Bosc & Daudin, 1801)",31.980797,-86.280312,3,4,2018,69,16,10.4,0.1313,87.69546485
1932342587,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.169884,-76.865168,19,10,2018,78.2,17.2,16.3,0.04390045,95.7049227
1932342533,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.169875,-76.865242,19,10,2018,78.2,17.2,16.3,0.04390045,95.7049227
1932342293,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.55706,-84.226982,23,10,2018,7.5,13.3,16.3,0.052907854,94.84674063
1932332304,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.01469,-86.371533,29,9,2018,88.3,22.3,21.8,0.138860684,87.03492735
1932331997,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.68615,-89.406555,7,9,2017,29.3,21.7,23.4,0.1765,83.81987792
1932331994,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.094907,-86.518838,29,9,2018,88.3,22.3,21.8,0.138860684,87.03492735
1932331991,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.177413,-86.507486,29,9,2018,88.3,22.3,21.8,0.138860684,87.03492735
1932331896,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.092532,-86.383281,29,9,2018,88.3,22.3,21.8,0.138860684,87.03492735
1932331299,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.322241,-86.751461,21,10,2018,98.5,15.8,17.2,0.052907854,94.84674063
1932326006,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.404487,-84.092971,21,10,2018,0,27.8,17.2,0.045499506,95.55200749
1932323684,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.665146,-77.207745,17,10,2018,78.2,17.2,16.3,0.04390045,95.7049227
1932323408,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.914,-78.877828,20,10,2018,152.2,16.9,16.3,0.045499506,95.55200749
1932322343,"Sceloporus undulatus hyacinthinus (Green, 1818)",35.49712,-82.60718,15,10,2018,91.3,15.5,16.3,0.045499506,95.55200749
1932318816,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.485942,-86.618175,29,9,2018,52.5,21,21.8,0.138860684,87.03492735
1932316809,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.400127,-87.512777,25,8,2018,182.6,24.9,23.3,0.134360547,87.4274791
1932315824,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.659616,-87.448455,25,8,2018,182.6,24.9,23.3,0.134360547,87.4274791
1932315648,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.440202,-85.649906,15,9,2018,88.3,22.3,21.8,0.138860684,87.03492735
1932315485,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.440242,-85.649879,15,9,2018,88.3,22.3,21.8,0.138860684,87.03492735
1932314259,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.554106,-89.469459,12,4,2018,69.7,8.7,10.4,0.141727865,86.78573987
1932311146,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.553619,-84.238945,18,10,2018,7.5,13.3,16.3,0.052907854,94.84674063
1932310278,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.890846,-80.815598,17,10,2018,91.3,15.5,16.3,0.045499506,95.55200749
1932302182,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.652683,-76.819243,20,5,2018,142.4,23.5,18.1,9.9999,0.004540447
1931544583,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.662998,-80.938301,7,9,2018,162.3,22.6,21.8,0.19972228,81.89581628
1931543265,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.034401,-79.788696,31,3,2004,44,13.4,14.4,0.219,80.33217182
1931543133,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.058102,-79.591698,23,6,2018,142.8,26.9,20.3,0.0492,95.19907125
1931536907,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.345963,-88.877458,24,5,2013,119542,19.4,15.8,1.5727,20.7484218
1931536283,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.10628,-82.75004,19,5,2016,52.5,17.5,14.6,0.3513,70.37725904
1931536181,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.659168,-88.436943,16,4,2016,129.8,12.3,19.2,0.746966033,47.38018736
1931527397,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.590576,-78.291652,7,10,2018,91.3,18.1,16.3,0.045499506,95.55200749
1931526485,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.77972,-76.702173,16,9,2018,376.8,24.4,21.8,0.19972228,81.89581628
1931525191,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.622696,-88.483674,17,10,2018,154.8,13,17.2,0.052907854,94.84674063
1931524998,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.556725,-84.223373,17,10,2018,7.5,13.3,16.3,0.052907854,94.84674063
1931524942,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.556725,-84.223351,17,10,2018,7.5,13.3,16.3,0.052907854,94.84674063
1931520070,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.695046,-82.046262,21,9,2018,0.3,29,21.8,0.19972228,81.89581628
1931512764,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.761242,-83.411147,9,10,2018,7.5,13.3,16.3,0.052907854,94.84674063
1931511918,"Sceloporus undulatus (Bosc & Daudin, 1801)",39.965255,-74.311821,14,10,2018,85.9,14.4,16.3,0.05471733,94.67527286
1931511165,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.416772,-78.629237,30,9,2018,130,24.5,21.8,0.19972228,81.89581628
1931511045,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.723347,-86.639656,4,9,2018,52.5,21,21.8,0.138860684,87.03492735
1931495670,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.417595,-88.870895,7,10,2018,154.8,13,17.2,0.052907854,94.84674063
1931494065,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.876152,-86.500798,9,10,2018,100.9,13.4,17.2,0.052907854,94.84674063
1931492625,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.988634,-86.458626,24,3,2010,69.1,9.4,8.4,1.4712,22.96497401
1931491627,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.169881,-76.865406,13,10,2018,78.2,17.2,16.3,0.04390045,95.7049227
1931481022,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.4944,-82.61439,8,9,2018,162.3,22.6,21.8,0.138860684,87.03492735
1931476701,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.899355,-79.032647,5,8,2018,159.3,26.9,23.3,0.134360547,87.4274791
1931474980,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.49538,-82.60445,19,6,2018,142.8,23.6,20.3,0.068393404,93.38930038
1931474843,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.996046,-78.69004,22,6,2018,142.8,26.9,20.3,0.0492,95.19907125
1931474117,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.49626,-82.60976,14,4,2018,69,16,10.4,0.084235601,91.92146623
1931473894,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.629718,-79.764774,27,5,2018,88.2,24.2,18.1,0.149844767,86.08415972
1931473741,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.79501,-82.403947,5,5,2018,88.2,24.2,18.1,0.149844767,86.08415972
1931473469,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.849347,-81.890109,4,5,2018,88.2,24.2,18.1,0.149844767,86.08415972
1931473462,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.53192,-82.487625,3,5,2018,88.2,24.2,18.1,0.149844767,86.08415972
1931473116,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.950133,-83.86905,17,4,2018,92,8.1,10.4,0.141727865,86.78573987
1931472982,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.877313,-79.037032,20,4,2018,69,16,10.4,0.084235601,91.92146623
