gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2447951226,Lepus americanus,48.795294,-113.655967,8,6,2018,51.5,17.2,17,0.045730981,95.52989211
2447940209,Lepus americanus,42.705915,-122.075343,29,8,2018,0,21.5,20,0.12985706,87.82209549
2447934651,Lepus californicus,35.485407,-118.466027,19,10,2019,0,22,21,0.138774188,87.04245586
2447934530,Lepus californicus,35.495505,-118.440668,18,10,2019,0,22,21,0.138774188,87.04245586
2447829278,Lepus americanus,42.259742,-122.45558,14,5,2019,37.9,15,10.6,0.120591814,88.63956999
2445157507,Lepus californicus,37.168119,-120.612108,20,2,2019,157.7,9.3,-1.9,0.073333595,92.92907717
2445154672,Lepus californicus,35.504791,-118.537193,19,10,2019,0,22,21,0.138774188,87.04245586
2445136375,Lepus californicus,34.654044,-119.993324,9,4,2018,1,18,6.2,0.435330622,64.70507022
2445133311,Lepus californicus,35.555307,-118.518412,19,10,2019,0,22,21,0.138774188,87.04245586
2445128226,Lepus californicus,33.377197,-112.771166,28,12,2018,98.7,14.3,7.5,0.181122887,83.43328234
2445122923,Lepus californicus,37.485039,-121.948211,15,10,2019,0,17,21,0.04889265,95.22833516
2445059665,Lepus californicus,33.822437,-116.343802,17,10,2019,0,22,21,0.138774188,87.04245586
2445021552,Lepus californicus,37.619796,-121.203998,25,7,2019,0,23.5,27.5,0.119081431,88.77355089
2445019589,Lepus californicus,35.129846,-115.433895,13,10,2019,0,22,21,0.138774188,87.04245586
2444999894,Lepus californicus,33.236317,-111.768168,17,10,2019,1.3,7.9,21,0.809786332,44.49531284
2444997839,Lepus californicus,33.639725,-116.320213,20,10,2019,0,22,21,0.138774188,87.04245586
2444969971,Lepus californicus,33.186,-116.325,16,10,2019,0,22,21,0.138774188,87.04245586
2444961679,Lepus californicus,39.017335,-104.26229,14,10,2019,4.8,8.1,17.1,0.809786332,44.49531284
2444957714,Lepus californicus,34.979133,-101.923035,4,7,2010,74.2,26.7,30.9,0.1385,87.06632513
2429619056,Lepus townsendii,38.321573,-119.610826,8,10,2017,1,23.4,17.3,0.037841622,96.28654258
2429612964,Lepus californicus,39.014162,-123.118951,16,10,2019,0,17,21,0.04889265,95.22833516
2429612703,Lepus californicus,37.619796,-121.203998,25,7,2019,0,23.5,27.5,0.119081431,88.77355089
2429606279,Lepus californicus,37.429148,-122.167492,15,10,2019,0,17,21,0.04889265,95.22833516
2429604317,Lepus californicus,35.163441,-119.562839,15,10,2019,0,22,21,0.138774188,87.04245586
2429603922,Lepus californicus,38.667033,-121.71913,14,10,2019,0,17,21,0.04889265,95.22833516
2429590528,Lepus californicus,33.766851,-116.36623,14,10,2019,0,22,21,0.138774188,87.04245586
2429566145,Lepus californicus,32.763278,-103.19973,22,9,2017,2.1,25.4,23.4,0.369,69.14254105
2429563229,Lepus californicus,37.985325,-122.540702,12,10,2019,0,17,21,0.04889265,95.22833516
2429563073,Lepus californicus,36.259281,-117.139431,6,6,2018,0.3,21.8,17,0.266521143,76.6039807
2429560982,Lepus californicus,35.594425,-115.45507,7,10,2019,0,22,21,0.138774188,87.04245586
2429551997,Lepus californicus,37.428342,-122.178506,9,10,2019,0,17,21,0.04889265,95.22833516
2429547152,Lepus californicus,36.697191,-121.271506,10,10,2019,0,17,21,0.138774188,87.04245586
2429542597,Lepus californicus,33.826005,-116.336471,10,10,2019,0,22,21,0.138774188,87.04245586
2429541591,Lepus californicus,37.059152,-121.065267,10,10,2019,0,17,21,0.138774188,87.04245586
2429520185,Lepus californicus,37.177318,-120.613625,20,2,2019,157.7,9.3,-1.9,0.073333595,92.92907717
2429515149,Lepus californicus,33.87444,-117.351172,5,7,2019,0,24.9,27.5,0.119081431,88.77355089
2429512834,Lepus californicus,37.15291,-121.442924,25,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
