"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HTDD","HX01","LN01","LX01","MN01","MNPN","MX01","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDMV","WSF1","WSF2","WSF5","WSFG"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1979",,"1197.1","1197.1","       117","        78","        2","         1","         0","        42","         1","       254","        53","-6.7","25","41.0","153.9","36.7",,"-1.7","-3.9","-4.4",,,"0.0","-3.9","-6.1","-6.7",,"1109.1",,"1109.1",,,,,,,,"1473.0","      71.8","47.0","18.2","24.0","12.3","   193056","       110",,,"       135",,"17.0",,,"25.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1980",,"1275.9","1275.9","       102","        75","        2","         2","         0","        41","         1","       238","        80","-9.4","102","94.0","116.1","37.8",,"0.0","-2.8","-4.4",,,"-6.1","-6.1","-6.1","-9.4","-9.4","1270.9",,"1270.9",,,,,,,"24.7","1039.6","      65.3","130.0","18.1","23.8","12.4","   178158","       270",,,"       315","31354.0","15.6",,,"27.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1981",,"1269.9","1269.9","        92","        69","        0","         0","         0","        50","         1","       242","        73","-10.6","0","0.0","136.9","38.3",,"-2.8","-2.8","-5.0","-7.8","-10.0","-1.7","-3.3","-4.4","-10.6","-10.6","1368.4",,"1368.4",,,,,,,,"1256.2","      71.5","0.0","17.9","24.1","11.8","   191250","        30",,,"        45",,"17.9",,,"25.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1982",,"1191.2","1191.2","       120","        79","        0","         0","         0","        26","         1","       262","        38","-12.2","0","0.0","93.5","35.6",,"-1.7",,,,,"0.0","-4.4","-4.4","-8.9","-8.9","1296.9",,"1296.9",,,,,,,,"1194.8",,"0.0","18.7","23.9","13.4",,"        30",,,,,"15.6",,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1983",,"1214.0","1214.0","       104","        75","        0","         0","         0","        20","         1","       232","        53","-11.7","0","0.0","82.8","37.8",,"-1.1","-7.8","-7.8","-7.8","-11.7","-0.6","-5.0","-5.0",,,"1124.2",,"1124.2",,,,,,,"24.7","1374.4","      54.9","0.0","18.2","23.3","13.1","   147396","        90",,,"        90","49656.0","16.1",,,"27.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1984","3.5","1200.8","1200.8","       104","        74","        0","         0","         0","        23","         0","       252","        43","-6.1","0","0.0","44.7","37.2",,"0.0","-5.0","-5.0",,,"0.0","-2.8","-6.1",,,"1150.0",,"1150.0",,,,,"13.5",,"25.6","1174.8",,"0.0","18.7","24.1","13.3","   170853","       310",,,"       270","46357.0","16.5",,,"22.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1985","3.9","1423.4","1423.4","       111","        71","        0","         0","         0","        35","         1","       266","        57","-14.4","0","0.0","106.7","37.8",,"-0.6","-2.8","-4.4","-7.8",,"-2.2","-2.2","-6.7","-6.7","-10.0","1102.0",,"1102.0",,,,,,,,"1279.6",,"0.0","19.2","24.6","13.8","   176259","       150",,,"       135",,"16.5",,,"21.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1986","3.8","1506.3","1506.3","       101","        64","        0","         0","         0","        20","         0","       260","        83","-11.1","0","13.0","97.0","40.0",,"0.0",,,,,"-1.7","-2.8","-11.1","-11.1","-11.1","1001.8",,"1001.8",,,,,,,,"1230.6",,"13.0","19.7","25.2","14.3","   158131","       330",,,"       360",,"16.5",,,"28.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1987","3.8","1322.5","1322.5","       105","        82","        0","         0","         0","        23","         0","       237","        72","-2.8","0","0.0","152.4","37.2",,"-1.1",,,,,"-0.6","-2.8",,,,"1114.3",,"1114.3",,,,,,,,"1440.5",,"0.0","18.7","24.2","13.2","   136646","       320",,,"       180",,"13.9",,,"23.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1988","3.6","1175.0","1175.0","       104","        68","        0","         0","         0","        37","         0","       254","        66","-6.1","0","10.0","67.6","37.8",,"0.0","-4.4","-4.4",,,"0.0","-2.2","-5.6",,,"1213.5",,"1213.5",,,,,,,,"1081.5",,"10.0","18.2","23.9","12.5","   147086","        80",,,"       180",,"15.6",,,"21.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1989","3.7","1405.9","1405.9","       131","        90","        5","         2","         0","        22","         1","       268","        73","-10.0","203","152.0","122.9","36.7",,"-2.2","-2.2","-7.2","-7.2","-8.9","0.0","-2.8",,,,"940.9",,"940.9",,,,,,,,"1424.4",,"226.0","19.3","24.7","13.8","   124260","       210",,,"       225","45302.0","23.2",,,"43.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1990","3.6","1549.4","1549.4","        94","        58","        0","         0","         0","         5","         0","       279","        97","-1.7","0","0.0","113.8","37.8","2007.6","0.0",,,,,"-1.7",,,,,"895.3",,"895.3",,,,,,,,"1146.8",,"0.0","20.7","26.3","15.1","   138163","       300",,,"       315","43003.0","15.6",,,"24.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1991","3.9","1438.2","1438.2","       131","        79","        0","         0","         0","        12","         0","       263","        71","-7.2","0","0.0","65.0","36.7",,"-0.6","-2.2",,,,"-3.3","-3.3","-7.2","-7.2",,"821.5",,"821.5",,,,,,,,"1263.4",,"0.0","19.7","24.9","14.6","   175876","       320",,,"       180",,"17.9",,,"30.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1992","3.7","1235.6","1235.6","       128","        87","        0","         0","         0","         7","         0","       240","        47","-3.9","0","0.0","70.1","36.7",,"-1.7",,,,,"-1.7","-3.3",,,,"1029.6",,"1029.6",,,,,,,"24.9","1368.8",,"0.0","18.8","24.0","13.7","   161834","       270",,,"       270","45162.0","13.4",,,"26.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1993","3.6","1354.8","1354.8","       104","        75","        0","         0","         0","        15","         0","       237","        72","-4.4","0","0.0","99.1","37.8",,"-2.2","-2.2","-4.4",,,"0.0","-3.9",,,,"1071.8",,"1071.8",,,,,,,,"1338.7",,"0.0","19.0","24.3","13.7","   171490","       210",,,"       225",,"20.6",,,"30.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1994","3.5","1270.9","1270.9","       131","        88","        0","         0","         0","        19","         1","       266","        45","-8.3","0","0.0","86.1","35.0",,,,,,,"-0.6","-3.9","-5.6","-8.3",,"1046.5",,"1046.5",,,,,,,,"1791.9",,"0.0","19.3","24.6","14.0","   170105","       210",,,"       270",,"15.6",,,"23.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1995","3.8","1429.2","1429.2","       131","        87","        0","         0","         0","        29","         0","       252","        65","-7.2","0","0.0","60.2","38.9",,"-0.6","-2.8","-4.4",,,"0.0","-7.2","-7.2","-7.2",,"903.5",,"903.5",,,,,,,,"1257.7",,"0.0","19.0","24.4","13.7",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1996","3.7","1203.1","1203.1","       118","        69","        0","         0","         0","        38","         0","       250","        42","-8.9","0","0.0","94.7","37.2",,"0.0","-2.2","-4.4",,,"0.0","-2.2","-4.4","-7.2","-8.9","1311.6",,"1311.6",,,,,,,,"1162.2",,"0.0","18.3","24.0","12.6",,,"       210","       210",,,,"17.4","25.0",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1997","3.5","1099.5","1099.5","       124","        86","        0","         0","         0","        17","         0","       249","        35","-5.0","0","0.0","124.7","36.1",,"0.0","-2.8",,,,"-1.7","-2.2","-5.0",,,"999.1",,"999.1",,,,,,,,"1590.0",,"0.0","18.5","23.9","13.0","   181745",,"       170","       240",,,,"19.7","23.2",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1998","3.5","1458.7","1458.7","       115","        72","        0","         0","         0","        13","         0","       270","        75","-5.6","0","0.0","267.2","37.8",,"-1.7",,,,,"-5.6","-5.6","-5.6",,,"1083.4",,"1083.4",,,,,,,,"1720.7",,"0.0","19.9","25.4","14.4",,,"       170","       150",,,,"18.3","25.0",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","1999","3.6","1239.7","1239.7","       115","        75","        0","         0","         0","        25","         0","       277","        60","-8.3","0","0.0","126.0","40.6",,"-0.6","-2.8","-5.6",,,"-1.7","-2.2","-8.3","-8.3",,"867.6",,"867.6",,,,,,,,"1179.4",,"0.0","19.0","24.9","13.1",,,"       360","       360",,,,"22.8","29.9",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2000","3.5","1235.9","1235.9","       101","        69","        2","         2","         0","        34","         0","       264","        57","-6.7","51","25.0","60.2","37.8",,"0.0","-4.4","-4.4","-6.7",,"-0.6","-3.3","-4.4",,,"1032.6",,"1032.6",,,,,,,,"1167.6",,"50.0","18.3","24.2","12.4",,,"       260","       250",,,,"17.0","21.5",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2001","3.4","1208.3","1208.3","       111","        67","        0","         0","         0","        25","         0","       271","        41","-7.2","0","0.0","97.8","36.1",,"-1.1","-3.9",,,,"-0.6","-4.4","-4.4","-7.2",,"1306.5",,"1306.5",,,,,,,,"1016.3",,"0.0","18.9","24.8","13.0",,,"       270","       260",,,,"17.0","21.9",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2002","3.4","1395.6","1395.6","       119","        79",,,"         0","        29","         0","       252","        57","-6.1",,,"88.1","38.3",,"0.0","-2.2",,,,"-0.6","-2.2","-5.0",,,"878.1",,"878.1",,,,,,,,"1549.8",,,"19.2","24.8","13.6",,,"       280","       270",,,,"17.9","24.1",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2003","3.4","1244.1","1244.1","       125","        79","        0","         0","         0","        30","         0","       261","        46","-8.3","0","0.0","71.1","35.0",,"-1.1","-2.2","-4.4",,,"-0.6","-4.4","-4.4","-7.8",,"1149.7",,"1149.7",,,,,,,,"1296.4",,"0.0","18.7","24.2","13.2",,,"       220","       190",,,,"17.0","25.0",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2004","3.7","1372.0","1372.0","       119","        68","        0","         0","         0","        30","         0","       261","        51","-5.6","0","0.0","101.1","36.1",,"0.0","-4.4","-4.4",,,"0.0","-3.3","-5.0",,,"1176.4","29.4","1176.4","33.9","5.6","6.7","19.1",,"21.8",,"997.2",,"0.0","18.9","24.4","13.3",,,"       290","       290",,,,"19.2","24.6",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2005","3.5","1327.9","1327.9","       116","        79","        0","         0","         0","        24","         0","       257","        56","-7.8","0","0.0","65.8","37.8",,"0.0","-4.4","-4.4",,,"-0.6","-3.9","-7.8","-7.8",,"1094.9","30.0","1094.9","34.4","6.1","7.8","18.9",,"21.8",,"1173.1",,"0.0","18.9","24.5","13.3",,,"       280","        60",,,,"17.9","24.1",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2006","3.3","1287.1","1287.1","       102","        61","        0","         0","         0","        19","         0","       267","        69","-7.2","0","0.0","115.1","36.7",,"-1.7","-3.9","-7.2","-7.2",,"-2.2","-2.2",,,,"1028.7",,"1028.7",,,,,,,,"1252.5",,"0.0","19.2","25.2","13.3",,,"       300","       300",,,,"21.0","24.1",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2007","3.4","1342.7","1342.7","        96","        67","        0","         0","         0","        19","         0","       277","        70","-3.9","0","0.0","60.5","37.2",,"0.0","-3.9",,,,"-1.1","-2.8",,,,"953.9","29.4","953.9","32.2","7.2","9.4","19.6",,"22.8",,"1068.5",,"0.0","19.5","25.3","13.6",,,"       200","       190",,,,"19.2","23.7",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2008","3.7","1269.3","1269.3","       118","        74","        0","         0","         0","        24","         0","       262","        59","-7.2","0","0.0","166.9","37.8",,"0.0","-2.8",,,,"-0.6","-2.2","-7.2","-7.2",,"899.2","28.9","899.2","32.2","7.2","9.4","19.4",,"22.3",,"1202.6",,"0.0","19.0","24.8","13.2",,,"       240","       250",,,,"17.9","22.8",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2009","3.4","1304.7","1304.7","       115","        75","        0","         0","         0","        26","         0","       251","        65","-7.2","0","0.0","105.4","36.7",,"-0.6",,,,,"-2.2","-2.2","-5.6","-7.2",,"1126.2","28.9","1126.2","33.3","5.0","9.4","19.5",,"22.1",,"1422.4",,"0.0","18.8","24.3","13.4",,,"       310","       310",,,,"17.0","21.0",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2010","3.2","1472.7","1472.7","        95","        68","        1","         1","         0","        51","         0","       252","        91","-7.8","76","84.0","126.2","37.2",,"-2.2","-2.2","-4.4","-7.8",,"-1.1","-2.2","-5.6","-7.8",,"1216.9","30.0","1216.9","33.3","4.4","7.8","19.1",,"22.1",,"1462.7",,"92.0","18.6","24.3","12.9",,,"       200","       200",,,,"21.0","27.3",
